Col1,Col2
-4.96466,2.07092
-4.96397,1.95422
-4.96328,1.94572
-4.96259,2.03755
-4.9619,2.21865
-4.96122,2.47529
-4.96053,2.79145
-4.95984,3.1494
-4.95915,3.53035
-4.95846,3.91502
-4.95777,4.28441
-4.95708,4.62038
-4.95639,4.9063
-4.9557,5.12763
-4.95501,5.27243
-4.95433,5.33187
-4.95364,5.30045
-4.95295,5.1763
-4.95226,4.96128
-4.95157,4.66091
-4.95088,4.28436
-4.95019,3.84406
-4.9495,3.35539
-4.94881,2.83622
-4.94813,2.30635
-4.94744,1.78688
-4.94675,1.29948
-4.94606,0.86576
-4.94537,0.506523
-4.94468,0.240992
-4.94399,0.0862823
-4.9433,0.0566233
-4.94261,0.162924
-4.94192,0.41238
-4.94124,0.807921
-4.94055,1.34829
-4.93986,2.02771
-4.93917,2.8361
-4.93848,3.75915
-4.93779,4.7787
-4.9371,5.87313
-4.93641,7.01791
-4.93572,8.1863
-4.93504,9.34995
-4.93435,10.4797
-4.93366,11.5465
-4.93297,12.5221
-4.93228,13.3798
-4.93159,14.0955
-4.9309,14.648
-4.93021,15.0201
-4.92952,15.1986
-4.92883,15.1751
-4.92815,14.9464
-4.92746,14.5142
-4.92677,13.8854
-4.92608,13.0719
-4.92539,12.0905
-4.9247,10.9624
-4.92401,9.71225
-4.92332,8.36843
-4.92263,6.96156
-4.92194,5.52409
-4.92126,4.08932
-4.92057,2.69069
-4.91988,1.3608
-4.91919,0.130626
-4.9185,-0.971174
-4.91781,-1.91905
-4.91712,-2.69119
-4.91643,-3.27
-4.91574,-3.64245
-4.91506,-3.80048
-4.91437,-3.74107
-4.91368,-3.4661
-4.91299,-2.9825
-4.9123,-2.30177
-4.91161,-1.43972
-4.91092,-0.415904
-4.91023,0.746876
-4.90954,2.02321
-4.90885,3.38588
-4.90817,4.80644
-4.90748,6.25607
-4.90679,7.70616
-4.9061,9.12916
-4.90541,10.4991
-4.90472,11.7923
-4.90403,12.9876
